Date,Avg_Temp_C,Max_Temp_C,Min_Temp_C,Precipitation_mm,Relative_Humidity_Percent,Wind_Speed_m_s
1981-02-26,21.84,30.76,14.97,0.0,42.41,2.4
1981-02-27,21.43,30.66,13.9,0.0,41.39,3.05
1981-02-28,21.73,30.53,15.03,0.0,39.5,3.18
1981-03-01,21.25,29.63,14.18,0.0,39.26,3.46
1981-03-02,21.08,28.86,14.56,0.54,49.29,3.02
1981-03-03,21.9,29.65,15.65,0.13,50.1,2.49
1981-03-04,21.83,29.36,16.05,0.21,58.84,3.08
1981-03-05,21.09,29.0,15.49,0.01,54.13,3.75
1981-03-06,21.04,29.19,14.65,0.01,46.48,4.1
1981-03-07,20.89,29.75,13.86,0.0,37.27,3.87
1981-03-08,21.19,30.24,14.62,0.0,36.53,4.3
1981-03-09,21.08,30.19,13.29,0.0,40.08,4.08
1981-03-10,22.69,31.39,15.05,0.0,32.0,2.67
1981-03-11,23.3,31.44,16.92,0.0,36.92,2.81
1981-03-12,22.7,31.12,15.89,0.0,43.68,3.29
1981-03-13,23.58,31.14,16.51,0.2,48.86,2.25
1981-03-14,22.79,28.75,18.28,5.17,64.54,2.03
1981-03-15,21.97,28.29,17.79,0.88,70.89,3.52
1981-03-16,22.39,28.91,17.35,0.03,64.06,3.25
1981-03-17,22.52,29.18,16.11,0.0,63.92,3.14
1981-03-18,20.28,23.55,17.74,0.06,76.22,2.95
1981-03-19,21.83,28.38,17.09,0.01,65.43,3.28
1981-03-20,21.83,30.53,15.72,0.0,61.07,3.69
1981-03-21,21.48,29.59,14.88,0.0,50.94,3.48
1981-03-22,22.53,30.55,15.1,0.0,40.68,2.89
1981-03-23,23.16,30.94,16.34,0.0,46.85,2.87
1981-03-24,23.37,31.06,17.04,0.0,51.38,3.13
1981-03-25,23.41,31.71,17.06,0.0,54.84,3.14
1981-03-26,24.22,31.83,18.21,0.0,52.26,2.6
1981-03-27,24.86,32.28,19.62,4.33,55.5,2.11
1981-03-28,24.9,32.85,19.1,2.01,58.81,2.55
1981-03-29,24.53,31.64,18.84,0.11,61.29,2.67
1981-03-30,23.63,30.57,19.13,1.54,64.28,2.36
1981-03-31,24.15,32.0,18.59,0.39,53.58,1.98
1981-04-01,24.15,31.62,18.55,0.04,61.05,2.43
1981-04-02,23.7,29.35,19.72,0.0,59.72,2.1
1981-04-03,24.22,32.15,17.25,0.05,52.68,2.9
1981-04-04,24.25,31.77,17.99,0.0,39.32,3.0
1981-04-05,24.97,33.72,17.72,0.0,34.29,2.4
1981-04-06,24.83,32.82,19.25,0.29,35.0,2.39
1981-04-07,23.84,32.14,17.76,0.92,39.12,3.12
1981-04-08,23.68,32.69,16.51,0.05,42.88,2.82
1981-04-09,23.67,32.45,15.47,0.0,41.29,2.73
1981-04-10,23.87,31.96,17.19,2.09,48.05,2.67
1981-04-11,23.94,31.06,17.57,3.32,53.96,2.48
